,label,description
0,engage in citizenship through digital technologies,Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.
1,identify needs and technological responses,"Assess needs and identify, evaluate, select and use digital tools and possible technological responses to solve them. Adjust and customise digital environments to personal needs (e.g. accessibility)."
2,protect health and well-being while using digital technologies,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.
3,digital data processing,"Identify, locate, retrieve, store, organise and analyse digital information, judging its relevance and purpose."
4,ICT safety,"Personal protection, data protection, digital identity protection, security measures, safe and sustainable use."
5,"browse, search and filter data, information and digital content","Articulate information needs, search for data, information and content in digital environments, access them and navigate between them. Create and update personal search strategies."
6,interact through digital technologies,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.
7,develop digital content,"Create and edit digital content in different formats, express oneself through digital means."
8,manage digital identity,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services."
9,share through digital technologies,"Share data, information and digital content with others through appropriate digital technologies. Act as an intermediary, know about referencing and attribution practices."
10,solve technical problems,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems)."
11,copyright and licenses related to digital content,"Understand how copyright and licences apply to data, information and digital content."
12,use online conventions of netiquette,Apply behavioural norms and know-how while using digital technologies and interacting in digital environments. Adapt communication strategies to the specific audience and be aware of cultural and generational diversity in digital environments.
13,protect ICT devices,"Protect devices and digital content, and understand risks and threats in digital environments. Know about safety and security measures and have due regard to reliability and privacy. Make use of tools and methods which maximise security of ICT devices and information by controlling access, such as passwords, digital signatures, biometry, and protecting systems such as firewall, antivirus, spam filters."
14,"manage data, information and digital content","Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment."
15,identify digital competence gaps,Understand where one’s own digital competence needs to be improved or updated. Be able to support others with their digital competence development. Seek opportunities for self-development and keep up-to-date with the digital evolution.
16,protect the environment from the impact of the digital technologies,Be aware of the environmental impact of digital technologies and their use.
17,digital communication and collaboration,"Communicate in digital environments, share resources through online tools, link with others and collaborate through digital tools, interact with and participate in communities and networks, cross-cultural awareness."
18,collaborate through digital technologies,"Use digital tools and technologies for collaborative processes, and for co-construction and co-creation of resources and knowledge."
19,integrate and re-elaborate digital content,"Modify, refine, improve and integrate information and content into an existing body of knowledge to create new, original and relevant content and knowledge."
20,protect personal data and privacy,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.
21,digital content creation,"Create and edit new content (from word processing to images and video); integrate and re-elaborate previous knowledge and content; produce creative expressions, media outputs and programming; deal with and apply intellectual property rights and licences."
22,problem-solving with digital tools,"Identify digital needs and resources, make informed decisions on most appropriate digital tools according to the purpose or need, solve conceptual problems through digital means, creatively use technologies, solve technical problems, update own and other's competence."
23,"evaluate data, information and digital content","Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content."
24,creatively use digital technologies,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.
25,computer programming,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages."
